  Operator non-availability periods., 4OR
  Automated interpretation and accessible presentation of technical diagrams for blind people., New Rev. Hypermedia Multim.
  An Architecture Exploration Environment for System on Chip Design., Nord. J. Comput.
  Decidability and Computability of Certain Torsion-Free Abelian Groups., Notre Dame J. Formal Log.
  The BioMart community portal an innovative alternative to large, centralized data repositories., Nucleic Acids Res.
  HILBERT - a MATLAB implementation of adaptive 2D-BEM - HILBERT Is a Lovely Boundary Element Research Tool., Numer. Algorithms
  Almost block diagonal linear systems sequential and parallel solution techniques, and applications., Numer. Linear Algebra Appl.
  Long-time averaging for integrable Hamiltonian dynamics., Numerische Mathematik
  Website redesign and testing with a usability consultant lessons learned., OCLC Syst. Serv.
  Whither Biological Database Research?, OMICS
  Patterns (Panel) cult to culture?., OOPS Messenger
  How do teams shape objects? - how do objects shape teams?, OOPS Messenger
  A Spatial Decision Support System Combining GIS and OR Tools to Optimize District Boundaries and Bus Routes for a Suburban School District., OR Insight
  Intensity-modulated radiotherapy - a large scale multi-criteria programming problem., OR Spectr.
  On the Foundations of Object-Oriented Informations Systems., Obj. Logiciel Base données Réseaux
  Programmation post-objets. Des langages d'aspects aux langages de composants., Obj. Logiciel Base données Réseaux
  Vers un profil UML pour la conception de composants multivues., Obj. Logiciel Base données Réseaux
  Coupling and cohesion (towards a valid metrics suite for object-oriented analysis and design)., Object Oriented Syst.
  SYMPAL a software environment for implicit concurrent object-oriented programming., Object Oriented Syst.
  An object-oriented denotational semantics of a small programming language., Object Oriented Syst.
  ObjVProlog-D distributed object-oriented programming in logic., Object Oriented Syst.
  The effects of choice of database and data retrieval methods on research performance evaluations of Asian universities., Online Inf. Rev.
  ISABELA - A Socially-Aware Human-in-the-Loop Advisor System., Online Soc. Networks Media
  Unsupervised and weakly supervised approaches for answer selection tasks with scarce annotations., Open Comput. Sci.
  Feature extraction for license plate location based on L0-norm smoothing., Open Comput. Sci.
  Exemplary industrial system and network modeling in Poland., Open Comput. Sci.
  Operation of Modular Smart Grid Applications Interacting through a Distributed Middleware., Open J. Big Data
  Scalable Distributed Computing Hierarchy Cloud, Fog and Dew Computing., Open J. Cloud Comput.
  An NVM Aware MariaDB Database System and Associated IO Workload on File Systems., Open J. Databases
  Ontology-Based Data Integration in Multi-Disciplinary Engineering Environments A Review., Open J. Inf. Syst.
  NebulaStream Complex Analytics Beyond the Cloud., Open J. Internet Things
  P-LUPOSDATE Using Precomputed Bloom Filters to Speed Up SPARQL Processing in the Cloud., Open J. Semantic Web
  Adding Semantics to Enrich Public Transport and Accessibility Data from the Web., Open J. Web Technol.
  Consuming Web Data in a Guiding App for Public Bus Users., Open J. Web Technol.
  Resonant Quantum Phenomena for an rf-SQUID Moderate Underdamped and Extreme Underdamped Limit., Open Syst. Inf. Dyn.
  A Social Service Measurement Model., Oper. Res.
  Certification of an optimal TSP tour through 85, 900 cities., Oper. Res. Lett.
  Computing shortest heterochromatic monotone routes., Oper. Res. Lett.
  Research in optical burst switching within the e-Photon/ONe network of excellence., Opt. Switch. Netw.
  Optimization framework for process scheduling of operation-dependent automobile assembly lines., Optim. Lett.
  Machine scheduling with a maintenance interval and job delivery coordination., Optim. Lett.
  Validation of nominations in gas network optimization models, methods, and solutions., Optim. Methods Softw.
  The Graph of Critical Pairs of a Crown., Order
  Temporal Elements in Career Selection Decisions An Archival Study Investigating Career Decisions in Medicine., Organ. Sci.
  A Sociopolitical Perspective on Employee Innovativeness and Job Performance The Role of Political Skill and Network Structure., Organ. Sci.
  A Bottom-up approach to Grid-Computing at a University the Black-Forest-Grid Initiative., PIK Prax. Informationsverarbeitung Kommun.
  Genome Modeling System A Knowledge Management Platform for Genomics., PLoS Comput. Biol.
  Combining Online News Articles and Web Search to Predict the Fluctuation of Real Estate Market in Big Data Context., Pac. Asia J. Assoc. Inf. Syst.
  Viewing versus Experiencing in Adopting Somatosensory Technology for Smart Applications., Pac. Asia J. Assoc. Inf. Syst.
  Smiling and use of first-name by a healthcare receptionist robot Effects on user perceptions, attitudes, and behaviours., Paladyn
  How to Build a Supervised Autonomous System for Robot-Enhanced Therapy for Children with Autism Spectrum Disorder., Paladyn J. Behav. Robotics
  Assistive technology design and development for acceptable robotics companions for ageing years., Paladyn J. Behav. Robotics
  Journeys in non-classical computation I A grand challenge for computing research., Parallel Algorithms Appl.
  A survey on resource allocation in high performance distributed computing systems., Parallel Comput.
  EdgES the Common Boundary between Service and Desktop Grids., Parallel Process. Lett.
  Automated hippocampal segmentation in 3D MRI using random undersampling with boosting algorithm., Pattern Anal. Appl.
  Segmentation of scanning tunneling microscopy images using variational methods and empirical wavelets., Pattern Anal. Appl.
  A comparison of methods for non-rigid 3D shape retrieval., Pattern Recognit.
  BioSecure signature evaluation campaign (BSEC'2009) Evaluating online signature algorithms depending on the quality of signatures., Pattern Recognit.
  COMBAHO A deep learning system for integrating brain injury patients in society., Pattern Recognit. Lett.
  Experiences with large-scale operational trials of ALTO-enhanced P2P filesharing in an intra-ISP scenario., Peer Peer Netw. Appl.
  Sustainable computational science the ReScience initiative., PeerJ Comput. Sci.
  12 Grand Challenges in Single-Cell Data Science., PeerJ Prepr.
  Scalable and robust channel allocation for densely-deployed urban wireless stations., Perform. Evaluation
  Covering lattice points by subspaces., Period. Math. Hung.
  On some curvature conditions of pseudosymmetry type., Period. Math. Hung.
  Locating-dominating sets in hypergraphs., Period. Math. Hung.
  On k-dimensional graphs and their bases., Period. Math. Hung.
  Strong limit theorems for anisotropic random walks on ℤ2., Period. Math. Hung.
  Distribution functions of ratio sequences, IV., Period. Math. Hung.
  On the exponential Diophantine equation \(x^{2}+2^{a}p^{b}=y^{n}\)., Period. Math. Hung.
  Darbo type fixed and coupled fixed point results and its application to integral equation., Period. Math. Hung.
  Intuitive Geometry Workshop and Intuitive Geometry Day in Calgary (August 31, 2007-September 3, 2007)., Period. Math. Hung.
  Foreword., Period. Math. Hung.
  High rank elliptic curves with prescribed torsion group over quadratic fields., Period. Math. Hung.
  Anonymous sealed bid auction protocol based on a variant of the dining cryptographers' protocol., Period. Math. Hung.
  Almost sure convergence of the Bartlett estimator., Period. Math. Hung.
  On the determination of solutions of simultaneous Pell equations \(x^{2}-(a^{2}-1)y^{2}=y^{2}-pz^{2}=1\)., Period. Math. Hung.
  A double inequality for an integral mean in terms of the exponential and logarithmic means., Period. Math. Hung.
  A complexity measure for families of binary sequences., Period. Math. Hung.
  Cohomology of \(\mathfrak {aff}(n|1)\) acting on the spaces of linear differential operators on the superspace \(\mathbb {R}^{1|n}\)., Period. Math. Hung.
  On topological properties of poly honeycomb networks., Period. Math. Hung.
  Homomorphisms and congruences on regular semigroups with associate inverse subsemigroups., Period. Math. Hung.
  Constructions from empty polygons., Period. Math. Hung.
  Generic cryptographic weakness of k-normal Boolean functions in certain stream ciphers and cryptanalysis of grain-128., Period. Math. Hung.
  Dedication., Period. Math. Hung.
  On a conjecture of Grünbaum concerning partitions of convex sets., Period. Math. Hung.
  Remarks on a conjecture on certain integer sequences., Period. Math. Hung.
  Large antipodal families., Period. Math. Hung.
  Strong Laws for L  p -Norms of Empirical and Related Processes., Period. Math. Hung.
  The crossing number of chordal ring networks., Period. Math. Hung.
  Erratum to Developing technology for autism an interdisciplinary approach., Pers. Ubiquitous Comput.
  Developing technology for autism an interdisciplinary approach., Pers. Ubiquitous Comput.
  Developing pervasive multi-agent systems with nature-inspired coordination., Pervasive Mob. Comput.
  Exploratory Study of Some Acoustic and Articulatory Characteristics of Sad Speech., Phonetica
  Release Bursts in English Word-Final Voiceless Stops Produced by Native English and Korean Adults and Children., Phonetica
  Study on the Implementation of Optical Transparent Transport Networks in the European Environment - Results of the Research Project COST 239., Photonic Netw. Commun.
  Alternating iterative secure structure between beamforming and power allocation for UAV-aided directional modulation networks., Phys. Commun.
  Ethics and HTA some lessons and challenges for the future., Poiesis Prax.
  Reliable Web Services Composition An MDD Approach., Polytech. Open Libr. Int. Bull. Inf. Technol. Sci.
  CASMACAT An Open Source Workbench for Advanced Computer Aided Translation., Prague Bull. Math. Linguistics
  ExCITE Project A Review of Forty-Two Months of Robotic Telepresence Technology Evolution., Presence Teleoperators Virtual Environ.
  Remark on "On DNA Codes" published in Probl. Peredachi Inf., 2005, no. 4., Probl. Inf. Transm.
  On DNA Codes., Probl. Inf. Transm.
  VIPER Volume Invariant Position-based Elastic Rods., Proc. ACM Comput. Graph. Interact. Tech.
  Trust and Technology Repair Infrastructures in the Remote Rural Philippines Navigating Urban-Rural Seams., Proc. ACM Hum. Comput. Interact.
  Differentiating Higher and Lower Job Performers in the Workplace Using Mobile Sensing., Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.
  PreFix Switch Failure Prediction in Datacenter Networks., Proc. ACM Meas. Anal. Comput. Syst.
  ISA semantics for ARMv8-a, RISC-v, and CHERI-MIPS., Proc. ACM Program. Lang.
  The Murchison Widefield Array Design Overview., Proc. IEEE
  CINTRA from an interdisciplinary centre on acoustics towards an intra-inter synergetic network., Proc. Meet. Acoust.
  Highly multiplexed single-cell analysis of formalin-fixed, paraffin-embedded cancer tissue., Proc. Natl. Acad. Sci. USA
  An Empirical Analysis of Traceability in the Monero Blockchain., Proc. Priv. Enhancing Technol.
  F1 Query Declarative Querying at Scale., Proc. VLDB Endow.
  Hierarchical modeling and analysis of embedded systems., Proceedings of the IEEE
  3LB Construcción de una base de datos de árboles sintáctico semánticos., Proces. del Leng. Natural
  Experimental and numerical analysis of tribological effective surfaces for forming tools in Sheet-Bulk Metal Forming., Prod. Eng.
  Conformal predictors in early diagnostics of ovarian and breast cancers., Prog. Artif. Intell.
  Unifying heterogeneous and distributed information about marine species through the top level ontology MarineTLO., Program
  The D-NET software toolkit A framework for the realization, maintenance, and operation of aggregative infrastructures., Program
  A computational technology for constructing the optimal shape of a power plant blade assembly taking into account structural constraints., Program. Comput. Softw.
  Current Issues and Future Directions in Methods for Studying Technology in the Home., PsychNology J.
  Ten Hot Topics around Scholarly Publishing., Publ.
  Movies in Public Libraries A Checklist Comparison with Internet Movie Database Recommendations., Public Libr. Q.
  Partnering with the Public Library for Health Care Education An Evaluation of Affordable Care Act Messages., Public Libr. Q.
  Book Reviews., Public Libr. Q.
  Injuries to older users of buses in the UK., Public Transp.
  Soft reliability an interdisciplinary approach with a user-system focus., Qual. Reliab. Eng. Int.
  Comprehensive reliability evaluation of multistate complex electromechanical systems based on similarity of cloud models., Quality and Reliability Eng. Int.
  SynBioEcoli a comprehensive metabolism network of engineered E. coli in three dimensional visualization., Quant. Biol.
  Co-citations in context Disciplinary heterogeneity is relevant., Quant. Sci. Stud.
  Demonstration of a scalable, multiplexed ion trap for quantum information processing., Quantum Inf. Comput.
  Quantum dynamics of superconducting nano-circuits phase qubit, charge qubit and rhombi chains., Quantum Inf. Process.
  Analysis and synthesis of feature map for kernel-based quantum classifier., Quantum Mach. Intell.
  Queueing with redundant requests exact analysis., Queueing Syst. Theory Appl.
  Coding and control for communication networks., Queueing Syst. Theory Appl.
  On optimizing CSMA for wide area ad hoc networks., Queueing Syst. Theory Appl.
  IsoGeneGUI Multiple Approaches for Dose-Response Analysis of Microarray Data Using R., R J.
  A self-adaptive biogeography-based algorithm to solve the set covering problem., RAIRO Oper. Res.
  The Uniform Minimum-Ones 2SAT Problem and its Application to Haplotype Classification., RAIRO Theor. Informatics Appl.
  Criteria for Evaluating AAA Protocols for Network Access., RFC
  An Approach for Reducing the Gap between BPMN Models and Implementation Artifacts., RITA
  Towards Generating Richer Code by Binding Security Abstractions to BPMN Task Types., RITA
  First order limits of sparse graphs Plane trees and path-width., Random Struct. Algorithms
  On the effectiveness of robot-assisted language learning., ReCALL
  SmartSpectra Applying multispectral imaging to industrial environments., Real Time Imaging
  Many suspensions, many problems a review of self-suspending tasks in real-time systems., Real Time Syst.
  ARMADA Middleware and Communication Services., Real Time Syst.
  Towards Combining Probabilistic and Interval Uncertainty in Engineering Calculations Algorithms for Computing Statistics under Interval Uncertainty, and Their Computational Complexity., Reliab. Comput.
  Overview of total system model used for the 2008 performance assessment for the proposed high-level radioactive waste repository at Yucca Mountain, Nevada., Reliab. Eng. Syst. Saf.
  Development of Decadal (1985-1995-2005) Land Use and Land Cover Database for India., Remote. Sens.
  Subalgebras of a Finite Monadic Boolean Algebra., Reports Math. Log.
  Known and unknown requirements in healthcare., Requir. Eng.
  An Authoring Tool to Develop and Display Courseware in a 3D Learning Environment., Res. Comput. Sci.
  IDC theory creation and the creation loop., Res. Pract. Technol. Enhanc. Learn.
  XRM - An Extended (N-ary) Relational Memory., Research Report / G / IBM / Cambridge Scientific Center
  RENDEZVOUS Version 1 An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases., Research Report / RJ / IBM / San Jose, California
  Aspectos a considerar para adaptar el contenido y el despliegue de la información., Rev. Avances en Sistemas Informática
  IAM Modelo integrado de adaptación., Rev. Avances en Sistemas Informática
  Diamante digital, una apuesta territorial por el desarrollo a partir de las TIC., Rev. Colomb. de Computación
  Arquitectura para la creación de ambientes móviles de recomendación, interacción y alertas para usuarios de una plataforma de EaD., Rev. Colomb. de Computación
  La Evaluación de Competencias en los Trabajos Fin de Estudios., Rev. Iberoam. de Tecnol. del Aprendiz.
  Modélisation, simulation et analyse de propriétés de réseaux orbitèles., Rev. Int. Géomatique
  Efficacy Analysis of a SDN-enhanced Resource Management System through NAS Parallel Benchmarks., Rev. Socionetwork Strateg.
  Preface for the Special Issue on the Project "Foundation of Innovative Algorithms for Big Data"., Rev. Socionetwork Strateg.
  'Knowable' as 'known after an announcement'., Rev. Symb. Log.
  Décision dans les agro-écosystèmes., Rev. d'Intelligence Artif.
  Combiner connaissances expertes, hors-ligne, transientes et en ligne pour l'exploration Monte-Carlo. Apprentissage et MC., Rev. d'Intelligence Artif.
  On infectious model for dependent defaults., Risk Decis. Anal.
  A multi-study cost-effectiveness comparison of the QFracture and FRAX fracture risk algorithms., Risk Decis. Anal.
  Un elemento di valutazione della qualità della didattica universitaria = An element of evaluation of the quality of university teaching., Roars Trans.
  Sensorgestützte Programmierung und Steuerung von Industrierobotern., Robotersysteme
  Anpassung eines Roboterteilsystems für den Seewassereinsatz und Erprobung bis 1100 m Wassertiefe., Robotersysteme
  Design, development and deployment of a hand/wrist exoskeleton for home-based rehabilitation after stroke - SCRIPT project., Robotica
  Wheeled Robot Dedicated to the Evaluation of the Technical Condition of Large-Dimension Engineering Structures., Robotics
  Variable structure robot control systems The RAPP approach., Robotics Auton. Syst.
  PRODEM Methode zur Spezifikation betreibergerechter Managementwerkzeuge für einen qualitätsgesicherten IT-Betrieb., Rundbr. GI Fachgr. 5 10 Informationssystem Archit.
  Digital preservation in Karelian Research Centre of RAS., Russ. Digit. Libr. J.
  What Makes a Neural Code Convex?, SIAM J. Appl. Algebra Geom.
  The Forced van der Pol Equation II Canards in the Reduced System., SIAM J. Appl. Dyn. Syst.
  Community Detection Using Spectral Clustering on Sparse Geosocial Data., SIAM J. Appl. Math.
  How to Morph Planar Graph Drawings., SIAM J. Comput.
  Coordinated Path-Following in the Presence of Communication Losses and Time Delays., SIAM J. Control. Optim.
  A New Optimal Control Approach for the Reconstruction of Extended Inclusions., SIAM J. Control. Optim.
  Active Fault Isolation A Duality-Based Approach via Convex Programming., SIAM J. Control. Optim.
  Feedback Stackelberg-Nash Equilibria in Mixed Leadership Games with an Application to Cooperative Advertising., SIAM J. Control. Optim.
  Proportional Local Assignability of Lyapunov Spectrum of Linear Discrete Time-Varying Systems., SIAM J. Control. Optim.
  Bishellable drawings of Kn., SIAM J. Discret. Math.
  Sensitivity of the Eisenberg-Noe Clearing Vector to Individual Interbank Liabilities., SIAM J. Financial Math.
  Signal Recovery and System Calibration from Multiple Compressive Poisson Measurements., SIAM J. Imaging Sci.
  Lower Bounds on Blowing-Up Solutions of the Three-Dimensional Navier-Stokes Equations in đot H3/2, • H5/2, and đot B5/22, 1., SIAM J. Math. Anal.
  Convergence Rates for Greedy Algorithms in Reduced Basis Methods., SIAM J. Math. Anal.
  Stop Memorizing A Data-Dependent Regularization Framework for Intrinsic Pattern Learning., SIAM J. Math. Data Sci.
  Graph-Based Regularization for Regression Problems with Alignment and Highly Correlated Designs., SIAM J. Math. Data Sci.
  On the Minimum Rank Among Positive Semidefinite Matrices with a Given Graph., SIAM J. Matrix Anal. Appl.
  A New HDG Method for Dirichlet Boundary Control of Convection Diffusion PDEs II Low Regularity., SIAM J. Numer. Anal.
  Enhancing Least-Squares Finite Element Methods Through a Quantity-of-Interest., SIAM J. Numer. Anal.
  High Order Discontinuous Galerkin Methods for Elliptic Problems on Surfaces., SIAM J. Numer. Anal.
  Analysis of Operator Splitting in the Nonasymptotic Regime for Nonlinear Reaction-Diffusion Equations. Application to the Dynamics of Premixed Flames., SIAM J. Numer. Anal.
  A Crank-Nicolson ADI Spectral Method for a Two-Dimensional Riesz Space Fractional Nonlinear Reaction-Diffusion Equation., SIAM J. Numer. Anal.
  Finite Element Approximations for Stokes-Darcy Flow with Beavers-Joseph Interface Conditions., SIAM J. Numer. Anal.
  Projected Pseudotransient Continuation., SIAM J. Numer. Anal.
  Optimization Algorithms for Hierarchical Problems with Application to Nanoporous Materials., SIAM J. Optim.
  Combining Progressive Hedging with a Frank-Wolfe Method to Compute Lagrangian Dual Bounds in Stochastic Mixed-Integer Programming., SIAM J. Optim.
  MADNESS A Multiresolution, Adaptive Numerical Environment for Scientific Simulation., SIAM J. Sci. Comput.
  The Rectilinear Steiner Tree Problem in NP Complete., SIAM Journal of Applied Mathematics
  An Analytical Method for Multiclass Molecular Cancer Classification., SIAM Rev.
  Probabilistic Density Function Method for Stochastic ODEs of Power Systems with Uncertain Power Input., SIAM/ASA J. Uncertain. Quantification
  Efficient History Matching of a High Dimensional Individual-Based HIV Transmission Model., SIAM/ASA J. Uncertain. Quantification
  RADON rational decomposition and orchestration for serverless computing., SICS Softw.-Intensive Cyber Phys. Syst.
  Theory research at Google., SIGACT News
  The gem5 simulator., SIGARCH Comput. Archit. News
  PRODIGY An Integrated Architecture for Planning and Learning., SIGART Bull.
  Research at Texas Instruments, Inc., SIGART Newsl.
  xCPS a tool to explore cyber physical systems., SIGBED Rev.
  An education-based approach to aid in the prevention of cyberbullying., SIGCAS Comput. Soc.
  The IS-BioBank project a framework for biological data normalization, interoperability, and mining for cancer microenvironment analysis., SIGHIT Rec.
  Challenges in information retrieval and language modeling report of a workshop held at the center for intelligent information retrieval, University of Massachusetts Amherst, September 2002., SIGIR Forum
  Current and Future Challenges in Mining Large Networks Report on the Second SDM Workshop on Mining Networks and Graphs., SIGKDD Explor.
  Learning to improve area-under-FROC for imbalanced medical data classification using an ensemble method., SIGKDD Explor.
  Open challenges for data stream mining research., SIGKDD Explor.
  A Machine Learning Approach for the Curation of Biomedical Literature - KDD Cup 2002 (Task 1)., SIGKDD Explor.
  Experience building non-functional requirement models of a complex industrial architecture (abstracts only)., SIGMETRICS Perform. Evaluation Rev.
  Mambo a full system simulator for the PowerPC architecture., SIGMETRICS Perform. Evaluation Rev.
  The Seattle Report on Database Research., SIGMOD Rec.
  Programming with Abstract Data Types., SIGPLAN Notices
  Symbolic computation tools in scientific problem solving environments., SIGSAM Bull.
  The "virtual hospital" project., SIGWEB Newsl.
  An EBNF grammar for Wiki Creole 1.0., SIGWEB Newsl.
  A new approach to measure social capital using game-theoretic techniques., SIGecom Exch.
  Carbon footprint optimization game theoretic problems and solutions., SIGecom Exch.
  Security applications lessons of real-world deployment., SIGecom Exch.
  Protecting Citizens' Personal Data and Privacy Joint Effort from GDPR EU Cluster Research Projects., SN Comput. Sci.
  A Methodology for Runtime Detection and Extraction of Threat Patterns., SN Comput. Sci.
  On Processing Extreme Data., Scalable Comput. Pract. Exp.
  Co-Realisation Towards a principled synthesis of ethnomethodology and participatory design., Scand. J. Inf. Syst.
  Neural Networks Application to Reduction of Train Caused Distortions in Magnetotelluric Measurement Data., Schedae Informaticae
  Slow feature analysis., Scholarpedia
  Optimization by Simmulated Annealing., Sci.
  Timed Operational Semantics and Well-Formedness of Shape Calculus., Sci. Ann. Comput. Sci.
  Shape Calculus. A Spatial Mobile Calculus for 3D Shapes., Sci. Ann. Comput. Sci.
  Concurrency and Interaction in Complex Systems., Sci. Ann. Comput. Sci.
  Parallel Processing Approaches for Multi Disciplinary Optimization., Sci. Ann. Cuza Univ.
  Landing site topographic mapping and rover localization for Chang'e-4 mission., Sci. China Inf. Sci.
  Design and optimization of DBR in 980 nm bottom-emitting VCSEL., Sci. China Ser. F Inf. Sci.
  Challenges of 22 nm and beyond CMOS technology., Sci. China Ser. F Inf. Sci.
  Growth and characterization of 0.8-µm gate length AlGaN/GaN HEMTs on sapphire substrates., Sci. China Ser. F Inf. Sci.
  Programming in a Wide Spectrum Language A Collection of Examples., Sci. Comput. Program.
  A survey and comparison of transformation tools based on the transformation tool contest., Sci. Comput. Program.
  Working with Research Integrity - Guidance for Research Performing Organisations The Bonn PRINTEGER Statement., Sci. Eng. Ethics
  Monitoring congestive heart failure by multi-vector cardiac impedance from implanted devices., Sci. Iran.
  On the Intention to Use an Online Learning Platform Feature., Sci. J. Riga Tech. Univ. Ser. Comput. Sci.
  Power-Efficient Computing Experiences from the COSA Project., Sci. Program.
  VLAM-G A Grid-based virtual laboratory., Sci. Program.
  Restoring tactile sensations via neural interfaces for real-time force-and-slippage closed-loop control of bionic hands., Sci. Robotics
  Science and technology in the region The output of regional science and technology, its strengths and its leading institutions., Scientometrics
  Security and privacy issues for the network of the future., Secur. Commun. Networks
  Keeping pace with the creation of new malicious PDF files using an active-learning based detection framework., Secur. Informatics
  Pathways to identity using visualization to aid law enforcement in identification tasks., Secur. Informatics
  Using publicly visible social media to build detailed forecasts of civil unrest., Secur. Informatics
  A measurement study of DNSSEC misconfigurations., Secur. Informatics
  Knowledge encapsulation framework for technosocial predictive modeling., Secur. Informatics
  Challenges in assessing privacy impact Tales from the front lines., Secur. Priv.
  Best practices for publishing, retrieving, and using spatial data on the web., Semantic Web
  Quantitative Long-Term Monitoring of the Circulating Gases in the KATRIN Experiment Using Raman Spectroscopy., Sensors
  Virtualised e-Learning on the IRMOS real-time Cloud., Serv. Oriented Comput. Appl.
  Robust and secure fractional wavelet image watermarking., Signal Image Video Process.
  A non-rigid image registration method based on multi-level B-spline and L2-regularization., Signal Image Video Process.
  Image quality in lossy compressed digital mammograms., Signal Process.
  Technical features of the JBIG standard for progressive bi-level image compression., Signal Process. Image Commun.
  IMGT-ONTOLOGY for immunogenetics and immunoinformatics., Silico Biol.
  Design and development process of a next-generation training system for spinal surgery., Simul.
  iTETRIS A modular simulation platform for the large scale evaluation of cooperative ITS applications., Simul. Model. Pract. Theory
  Autonomous Landing System Safe Landing Zone Identification., Simul. Notes Eur.
  Parallel simulation of 3-D flow and transport models within the NOWESP project., Simul. Pract. Theory
  Patient-centered simulation tool for aiding in hospital management., Simul. Pract. Theory
  A Heart Rate Variability-based Smart Approach to Analyze Frailty in Older Adults., Smart Comput. Rev.
  Increasing the efficiency of real-time content delivery by improving the technology of priority assignment and processing of IP traffic., Smart Comput. Rev.
  A Survey of Cluster-based Routing Schemes for Wireless Sensor Networks., Smart Comput. Rev.
  Simulation of Spinal Codes., Smart Comput. Rev.
  Intra Mode Selection for Depth Map Coding in 3D-HEVC., Smart Comput. Rev.
  Analysing gamification elements in educational environments using an existing Gamification taxonomy., Smart Learn. Environ.
  A counterexample to a conjecture of Schwartz., Soc. Choice Welf.
  Networked experiments and modeling for producing collective identity in a group of human subjects using an iterative abduction framework., Soc. Netw. Anal. Min.
  Modelling a disease-relevant contact network of people who inject drugs., Soc. Networks
  Optimization algorithms for large-scale real-world instances of the frequency assignment problem., Soft Comput.
  KEEL a software tool to assess evolutionary algorithms for data mining problems., Soft Comput.
  What characterizes a (software) component?, Softw. Concepts Tools
  'Slick Systems' and 'Happy Hackers' experience with group projects at UCL., Softw. Eng. J.
  A Review of Some Rigorous Software Design and Analysis Tools., Softw. Focus
  IRATI Open source RINA implementation for Linux., Softw. Impacts
  Multiprocessor structures for microprocessors., Softw. Microsystems
  A comprehensive solution for application-level adaptation., Softw. Pract. Exp.
  Adopting a situational requirements engineering approach for the analysis of civil aviation security standards., Softw. Process. Improv. Pract.
  Operational risk management in financial institutions Process assessment in concordance with Basel II., Softw. Process. Improv. Pract.
  Accurate estimates without local data?, Softw. Process. Improv. Pract.
  ROI of software process improvement at BL informática SPIdex is really worth it., Softw. Process. Improv. Pract.
  Data-driven and tool-supported elicitation of quality requirements in agile companies., Softw. Qual. J.
  Opportunities in intelligent modeling assistance., Softw. Syst. Model.
  Object-sensitive cost analysis for concurrent objects., Softw. Test. Verification Reliab.
  Random or evolutionary search for object-oriented test suite generation?, Softw. Test. Verification Reliab.
  Ranking of software engineering metrics by fuzzy-based matrix methodology., Softw. Test. Verification Reliab.
  Simulated time for host-based testing with TTCN-3., Softw. Test. Verification Reliab.
  Challenges in Creating a Sustainable Generic Research Data Infrastructure., Softwaretechnik-Trends
  GenePattern Flow Cytometry Suite., Source Code Biol. Medicine
  Changing computational research. The challenges ahead., Source Code Biol. Medicine
  A heuristic image search algorithm for Active Shape Model segmentation of the caudate nucleus and hippocampus in brain MR images of children with FASD., South Afr. Comput. J.
  Trans-Pacific HDR satellite communications experiment, Phase-2 results summary., Space Commun.
  Non-expert interpretations of hurricane forecast uncertainty visualizations., Spatial Cogn. Comput.
  Speech synthesis for the new Pan-European traffic message control system RDS-TMC., Speech Commun.
  PEGASUS A spoken dialogue interface for on-line air travel planning., Speech Communication
  Prosody takes over Towards a prosodically guided dialog system., Speech Communication
  Integrating database knowledge and epidemiological design to improve the implementation of data mining methods that evaluate vaccine safety in large healthcare databases., Stat. Anal. Data Min.
  SPREAD - exploiting chemical features that cause differential activity behavior., Stat. Anal. Data Min.
  A relaxed approach to combinatorial problems in robustness and diagnostics., Stat. Comput.
  Efficient computation of location depth contours by methods of computational geometry., Stat. Comput.
  Population constraints on pooled surveys in demographic hazard modeling., Stat. Methods Appl.
  The association between multidose vaccinations and death comparing case series methods when the first exposure changes the general risk of an event., Stat. Methods Appl.
  Equilibrium dynamics of ice streams a Bayesian statistical analysis., Stat. Methods Appl.
  Estimation of river and stream temperature trends under haphazard sampling., Stat. Methods Appl.
  A statistical method for synthesizing mediation analyses using the product of coefficient approach across multiple trials., Stat. Methods Appl.
  Prototyping-Oriented Software Development - Concepts and Tools., Struct. Program.
  Continuous Lattices and Domains., Stud Logica
  Contribution of the Living Lab approach to the development, assessment and provision of assistive technologies for supporting older adults with cognitive disorders., Stud. Inform. Univ.
  An information-centric energy infrastructure The Berkeley view., Sustain. Comput. Informatics Syst.
  Bio-inspired computation Where we stand and what's next., Swarm Evol. Comput.
  AutoMoDe-Chocolate automatic design of control software for robot swarms., Swarm Intell.
  ARGoS a modular, parallel, multi-engine simulator for multi-robot systems., Swarm Intell.
  Kaonic Atoms to Investigate Global Symmetry Breaking., Symmetry
  Actual causation a stone soup essay., Synth.
  What Differentiates Poor and Good Outcome Psychotherapy? A Statistical-Mechanics-Inspired Approach to Psychotherapy Research., Syst.
  Designing Computer-Supported Complex Systems Curricula for the Next Generation Science Standards in High School Science Classrooms., Syst.
  Exploring Intra-Urban Accessibility and Impacts of Pollution Policies with an Agent-Based Simulation Platform GaMiroD., Syst.
  Autocovariance-based plant-model mismatch estimation for linear model predictive control., Syst. Control. Lett.
  Lunar architecture and technology analysis driven by lunar science scenarios., Syst. Eng.
  Adding Value to Trade Space Exploration When Designing Complex Engineered Systems., Syst. Eng.
  Development of processor cores for digital consumer appliances., Systems and Computers in Japan
  Vers une plate-forme MapReduce tolérant les fautes byzantines., Tech. Sci. Informatiques
  Common Subexpression Identification in General Algebraic Systems., Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre
